name,address,city,state,zip,phone,website,latitude,longitude,scope,source,facility_type,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages
Young Achievers Science and Math Pilot School,20 Outlook Rd,Mattapan,MA,2126,857-267-4168,,42.28232331,-71.09500291,national,findtreatment.gov,HRSA,,,,,,,,english
South Gardner Community Health and Urgent Care Center,529 Timpany Blvd,Gardner,MA,1440,978-878-8100,https://chcfhc.org,42.5533058,-71.99387309,national,findtreatment.gov,HRSA,,,,,,,,english
Harvard Street Neighborhood Health Center,646 Blue Hill Ave UNIT 2,Dorchester,MA,2121,617-825-3400 x5562,https://harvardstreet.org,42.30214115,-71.08529398,national,findtreatment.gov,HRSA,,,,,,,,english
Drewicz Elementary School - School Based Health Center,34 Hood Street,Lynn,MA,1905,781-596-2502 x2701,,42.4613067,-70.969557,national,findtreatment.gov,HRSA,,,,,,,,english
"Tracy Elementary School, School Based Health Center",35 Walnut Street,Lynn,MA,1905,781-477-7466,,42.46882661,-70.96661537,national,findtreatment.gov,HRSA,,,,,,,,english
HealthFirst Family Care Center-School-Based Health Center,251 Stonehaven Rd,Fall River,MA,2723,508-678-2891,,41.69996523,-71.12484349,national,findtreatment.gov,HRSA,,,,,,,,english
"Town Plaza Condominium, Building 1, Unit 9,  South Dennis",900 Route 134 BLDG 4 # 1,South Dennis,MA,2660,781-780-7413 x165,,41.71684157,-70.1541927,national,findtreatment.gov,HRSA,,,,,,,,english
Drop In Center Franklin County,60 Wells St,Greenfield,MA,1301,413-337-9100,,42.58939572,-72.60532974,national,findtreatment.gov,HRSA,,,,,,,,english
Manet at Taunton--(Suite 140),1 Washington Street,Taunton,MA,2780,508-822-5500,https://www.manetchc.org,41.90255059,-71.09967976,national,findtreatment.gov,HRSA,,,,,,,,english
Harrington Elementary School  -  School Based Health Center,21 Dexter St,Lynn,MA,1902,781-477-1902,,42.46467811,-70.93902701,national,findtreatment.gov,HRSA,,,,,,,,english
New England Center and Home for Veterans,17 Court Street,Boston,MA,2108,617-371-1772,,42.35892586,-71.05826947,national,findtreatment.gov,HRSA,,,,,,,,english
GEIGER-GIBSON COMMUNITY HLTH CTR,250 Mount Vernon St,Dorchester,MA,2125,617-288-1140,https://www.hhsi.us,42.31944332,-71.04611068,national,findtreatment.gov,HRSA,,,,,,,,english
St. Patrick's Women's Shelter,270 Washington St,Somerville,MA,2143,617-628-3015,,42.37928856,-71.09798762,national,findtreatment.gov,HRSA,,,,,,,,english
MARKET SQUARE FAMILY HLTH SVCS,29 Market Square,Lynn,MA,1905,781-596-3500,https://lchcnet.org/aboutus/,42.46282001,-70.96411161,national,findtreatment.gov,HRSA,,,,,,,,english
Greater New Bedford Community Health Center ADMIN,384 Acushnet Ave,New Bedford,MA,2740,508-992-6553,,41.63577369,-70.92514188,national,findtreatment.gov,HRSA,,,,,,,,english
Harbor Health Services Administrative Offices,1135 Morton Street,Mattapan,MA,2126,617-533-2350,https://www.hhsi.us,42.27616039,-71.07474863,national,findtreatment.gov,HRSA,,,,,,,,english
Pine Street Inn at the Shattuck,170 Morton Street,Jamaica Plain,MA,2130,617-971-3787,,42.2990551,-71.10244629,national,findtreatment.gov,HRSA,,,,,,,,english
"Community Health Center of Cape Cod, Mashpee",107 Commercial Street,Mashpee,MA,2649,508-477-7090,https://chcofcapecod.org,41.6071608,-70.49029604,national,findtreatment.gov,HRSA,,,,,,,,english
LYNN COMMUNITY HEALTH CENTER,269 Union Street,Lynn,MA,1901,781-581-3900,https://lchcnet.org/aboutus/,42.46508224,-70.94332642,national,findtreatment.gov,HRSA,,,,,,,,english
"Washington Elementary School, School Based Health Center",58 Blossom Street,Lynn,MA,1902,339-883-1414,,42.46135234,-70.95450796,national,findtreatment.gov,HRSA,,,,,,,,english
Codman Square Health Center at Randolph High School,42 Highland Ave,Randolph,MA,2368,781-807-1771,https://ww.codman.org,42.16364544,-71.04672744,national,findtreatment.gov,HRSA,,,,,,,,english
Connecticut River Valley Farmworker Health Program,40 Court Street,Boston,MA,2108,617-426-2225,https://www.massleague.org/Programs/CRVFarmWorkerHealthProgram/AboutCRVFHP-InEnglish.php,42.3591836,-71.05929374,national,findtreatment.gov,HRSA,,,,,,,,english
Community Action Drop-In Center,16 Ashland St,Haverhill,MA,1830,978-725-7400,,42.78139226,-71.07611706,national,findtreatment.gov,HRSA,,,,,,,,english
MARY IMMACULATE/RESTORATIVE CTR,172 Lawrence St,Lawrence,MA,1841,978-725-7400,https://www.glfhc.org,42.71298939,-71.16411086,national,findtreatment.gov,HRSA,,,,,,,,english
