name,address,city,state,zip,phone,website,primary_focus,substances,age_groups,identity_factors,insurance,settings,therapy_approaches,languages,dmh_region,notes
"Several DMH site offices also have VideoPhones, which can be used for direct communication between staff and",,Statewide,MA,,(978) 627-4468,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
North County Site Office,,Statewide,MA,,(978) 627-4468,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
Springfield Site Office,,Statewide,MA,,(413) 301-0914,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
Metro North Site Office,,Statewide,MA,,(339) 219-6119,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
DMH Site Office,,Statewide,MA,,(339) 219-6119,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
Westborough Site Office,,Statewide,MA,,(508) 948-0605,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
Lindemann/Cambridge/Somerville Site Office,,Statewide,MA,,(857) 366 4215,,mental_health,,,,,,,english,Statewide,DMH Resource Directory 2025
"Lemuel Shattuck Hospital                             (617) 522-8110           Dr. Romas Buivydas, Ph.D.","7888       Chief of Psychiatric Operations
Jamaica Pl",ain,MA,02130,(617) 522-8110,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
Dr. Solomon Carter Fuller Mental Health Center       (617) 626-8700           Valencia Reid,"8929       Chief Operating Officer
Bost",on,MA,02118,(617) 626-8700,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
Taunton State Hospital                               Telephone #              Person in Charge,,"Chief Operating Officer
Taunton",MA,02780,(508) 977-3000,,mental_health,,,,,,,english,Southeast,DMH Resource Directory 2025
Tewksbury Hospital                       2859                 Chief of Psychiatric Operations,"4000       Kathy Wenzel
Worcest",er,MA,01604,(978) 851-1029,,mental_health,,adult,,,,,english,Northeast,DMH Resource Directory 2025
Worcester Recovery Center and Hospital   Telephone #          Person in Charge,"4000       Kathy Wenzel
Worcest",er,MA,01604,(508) 368-4000,,mental_health,,adolescent|adult,,,,,english,Central MA,DMH Resource Directory 2025
Fuller/Bay Cove Site Office                              Telephone #                   Person in Charge,"8884            Site Director
      Bost",on,MA,02118,(617) 626-8944,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
Dr. Solomon Carter Fuller Mental Health Center           (617) 626-8944                Patricia Cadet,"8884            Site Director
      Bost",on,MA,02118,(617) 626-8944,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
"Center/Cambridge/Somerville Site Office                  (617) 626-8500                Luis Borrero, MSW, LICSW","8515            Site Director
      Bost",on,MA,02114,(617) 626-8500,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
Massachusetts Mental Health Center Site Office           Telephone #                   Person in Charge,"9300                Rachel Steiner
      Bost",on,MA,02115,(617) 626-9300,,mental_health,,,,,,,english,Metro Boston,DMH Resource Directory 2025
